Year,R_Value,Date,RR_Days,Max_Dry_Season_Rainfall
1975,215.7,1975-05-20,213.0,149.7
1976,261.3,1976-08-25,463.0,47.7
1977,119.7,1977-09-05,376.0,28.1
1978,284.8,1978-10-17,407.0,68.7
1979,245.2,1979-09-23,341.0,62.3
1980,86.2,1980-05-03,223.0,73.2
1981,128.5,1981-09-29,514.0,54.5
1982,334.2,1982-08-16,321.0,70.9
1983,346.7,1983-06-17,305.0,98.6
1984,174.7,1984-06-16,365.0,65.8
1985,208.1,1985-06-25,374.0,65.6
1986,175.1,1986-06-06,346.0,86.2
1987,138.2,1987-07-30,419.0,137.8
1988,203.5,1988-07-19,355.0,61.5
1989,322.8,1989-05-20,305.0,55.6
1990,144.8,1990-06-01,377.0,72.9
1991,192.4,1991-10-15,501.0,36.6
1992,324.1,1992-05-08,206.0,160.7
1993,223.9,1993-09-26,506.0,86.1
1994,297.0,1994-07-22,299.0,58.9
1995,242.4,1995-08-12,386.0,42.6
1996,227.0,1996-09-14,399.0,89.0
1997,199.7,1997-08-22,342.0,63.4
1998,411.3,1998-06-09,291.0,76.4
1999,276.0,1999-09-16,464.0,81.5
2000,172.5,2000-04-23,220.0,172.5
2001,142.1,2001-07-06,439.0,46.6
2002,162.8,2002-09-17,438.0,130.0
2003,141.1,2003-05-05,230.0,65.4
2004,124.4,2004-05-08,369.0,89.0
2005,303.3,2005-08-20,469.0,15.7
2006,248.3,2006-09-13,389.0,109.4
2007,100.4,2007-08-06,327.0,64.4
2008,307.1,2008-06-07,306.0,237.4
2009,190.3,2009-09-15,465.0,43.0
2010,182.4,2010-07-22,310.0,94.1
2011,106.6,2011-06-28,341.0,44.2
2012,121.5,2012-09-24,454.0,66.2
2013,230.8,2013-05-22,240.0,58.2
2014,166.1,2014-08-13,448.0,103.1
2015,191.3,2015-07-22,343.0,52.0
2016,223.4,2016-10-19,455.0,76.4
2017,273.6,2017-05-24,217.0,21.9
2018,167.5,2018-09-16,480.0,21.0
2019,178.3,2019-08-26,344.0,75.8
2020,183.8,2020-06-06,285.0,41.6
2021,329.7,2021-10-08,489.0,32.2
2022,165.5,2022-08-05,301.0,58.1
2023,425.0,2023-09-08,399.0,53.5
2024,116.2,2024-08-17,344.0,81.6
2025,1.2,2025-01-23,159.0,1.2
